custom/distance_covered,custom/reward,custom/center_lane_deviation,custom/mean_reward,custom/total_reward,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/std,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/ent_coef
27,-10,0.587480607867367,0.35544334133504896,213.62144814236441,,,,,,,,,,,,,
30,-3,0.3438796379246015,0.2105968053115531,265.3519746925569,,,,,,,,,,,,,
28,-3,0.4492844253157238,0.11703848300731387,218.74492474066963,,,,,,,,,,,,,
27,-10,0.40222481327447546,0.09516337634677195,235.8148465873009,,,,,,,,,,,,,
,,,,,118,619.5,20,2478,4,233.38329875,0.04978706315159798,,,,,,
29,-3,0.38847282246575227,0.07999694479528349,249.99045248526093,,,,,,,,,,,,,
27,-3,0.26114995078136566,0.07052609162994182,263.7675826959824,,,,,,,,,,,,,
30,-10,0.3695988397349244,0.05897524370376305,259.78594851507626,,,,,,,,,,,,,
28,-3,0.4104907128816396,0.047174175963674715,236.53131828186503,,,,,,,,,,,,,
,,,,,122,626.75,41,5014,8,242.95106212500002,0.04978706315159798,,,,,,
30,-3,0.5904507384655833,0.038930480608675225,220.69689457057984,,,,,,,,,,,,,
29,-3,0.3446959085591547,0.04113385308944289,258.937605198043,,,,,,,,,,,,,
21,-10,0.5331353495903847,0.030334822171253065,207.18683542965843,,,,,,,,,,,,,
27,-3,0.3678984919194063,0.033187048392949135,247.04438823711334,,,,,,,,,,,,,
,,,,,123,620.3333333333334,60,7444,12,239.78951833333335,0.04978706315159798,,,,,,
29,-3,0.34987960739919577,0.03171671109340916,256.08072536818554,,,,,,,,,,,,,
28,-3,0.23543792802735525,0.02958611039879306,256.86661048232133,,,,,,,,,,,,,
29,-10,0.3450869230176442,0.027651830885502188,257.7150638528804,,,,,,,,,,,,,
26,-10,0.6808740423284582,0.02129873386822583,211.30473870666845,,,,,,,,,,,,,
,,,,,123,620.0625,80,9921,16,241.215084875,0.04978706315159798,,,,,,
11,-10,0.30864497549080594,0.004990311509539248,50.46702029597042,,,,,,,,9.01929132032e-05,128,0.6851389575749636,-3.8483074121177197,-0.025647987669799477,0.9914339119568467
6,-10,0.42508765003180043,0.002018175297953923,20.668133226346125,,,,,,,,9.007203328e-05,256,0.976379438303411,-6.805013678967953,-0.06385185662657022,0.9795005992054939
5,-10,0.38026481256431754,0.002568880701895932,26.636723997958917,,,,,,,,8.995123486720001e-05,384,1.4462552811019123,-9.6921027302742,-0.10294529981911182,0.9678049050271511
